ship,area,date,trip_no,is_cancellation,tsuri_mono_raw,tsuri_mono,main_sub,fish_raw,cnt_min,cnt_max,cnt_avg,is_boat,size_min,size_max,kg_min,kg_max,tackle,point_place1,point_place2,point_place3,depth_min,depth_max,water_temp_min,water_temp_max,water_color,wind_direction,wind_speed,tide_info,wave_info,weather,by_catch,kanso_raw,suion_raw,suishoku_raw
光進丸,金谷港,2024/02/04,1,0,アジ,アジ,メイン,アジ,8,66,37,0,25,38,,,,金谷沖超浅場,,,,,,,,,,,,,,午前黄金アジ船。今日も良型主体に喰い活発!バリバリでした!2番手60匹!幅広肉厚の黄金アジが勢揃いで超平均釣果でした!。,,
光進丸,金谷港,2024/02/04,2,0,カワハギ,カワハギ,メイン,午前カワハギ,0,8,4,0,16,27,,,,金谷沖,,,,,,,,,,,,,,今日も良型サイズ多々交じりで2番手7匹!エサへの反応も良好!良い引き沢山!!,,
光進丸,金谷港,2024/02/03,1,0,アジ,アジ,メイン,アジ,20,47,33,0,25,38,,,,金谷沖超浅場,,,,,,,,,,,,,,午前黄金アジ船。今日も良型主体に喰い活発!バリバリでした!2番手46匹!幅広肉厚の黄金アジが勢揃いで超平均釣果でした!ビシ60号使用!。,,
光進丸,金谷港,2024/02/03,2,0,カワハギ,カワハギ,メイン,午前カワハギ,0,8,4,0,16,28,,,,金谷沖,,,,,,,,,,,,,,今日も良型サイズ多々交じりで2番手7匹!エサへの反応も良好!良い引き沢山!!,,
光進丸,金谷港,2024/02/02,1,0,アジ,アジ,メイン,アジ,14,104,59,0,25,38,,,,金谷沖超浅場,,,,,,,,,,,,,,午前黄金アジ船。今日も良型主体に喰い活発!バリバリでした!船中50匹前後の御客様多数!幅広肉厚の黄金アジが勢揃いで超平均釣果でした!。,,
光進丸,金谷港,2024/02/02,2,0,カワハギ,カワハギ,メイン,午前カワハギ,12,16,14,0,16,27,,,,金谷沖,,,,,,,,,,,,,,今日も良型サイズ多々交じりでツ抜け多数!エサへの反応も良好!良い引き沢山!!,,
敷嶋丸,大原港,2024/02/24,1,0,フグ,フグ,メイン,フグ,0,3,1,0,18,31,,,,太東沖,,,15.0,15.0,,,,,,,,,,,,
敷嶋丸,大原港,2024/02/18,1,0,フグ,フグ,メイン,フグ,5,26,15,0,15,30,,,,太東沖,,,13.0,13.0,,,,,,,,,"アカメフグ,シリヤケイカ",他にアカメフグ・シリヤケイカ。。,,
敷嶋丸,大原港,2024/02/17,1,0,フグ,フグ,メイン,フグ,6,21,13,0,17,31,,,,太東沖,,,13.0,13.0,,,,,,,,,,"地図を表示 敷嶋丸での釣行プラン・料金 敷嶋丸周辺の天気 大原港 1時間毎の天気 千葉県 の週間天気 注意報・警報 令和８年４月３日０４時０３分 銚子地方気象台 発表 北西部霜 北東部霜 南部霜 千葉県では、３日朝は霜に対する農作物の管理に注意してください。 千葉中央 (継続)霜注意報 印旛 (継続)霜注意報 東葛飾 (継続)霜注意報 香取・海匝 (継続)霜注意報、(解除)波浪注意報 山武・長生 (継続)霜注意報、(解除)波浪注意報 君津 (継続)霜注意報 夷隅・安房 (継続)霜注意報、(解除)波浪注意報 敷嶋丸周辺の潮汐 関連番組一覧 敷嶋丸の釣果・施設情報 最新釣果 営業情報 １日の流れ 施設写真 地図 釣りもの 天気 潮汐 釣りビジョン マガジン 釣りビジョン マガジンより 2025年11月07日公開 【数型とも好調！】千葉県外房・大原のショウサイフグ、大型活発！初心者もOK！！千葉県大原港『敷嶋丸』 2024年09月14日公開 【カットウ釣り】大原太東沖のショウサイフグが絶好調！トラフグも浮上！千葉県大原港『敷嶋丸』 2023年12月14日公開 《規定数達成続出！》外房・大原沖のフグ、今年も群れ濃く期待大！千葉県大原港『敷嶋丸』 2022年10月12日公開 大原沖のショウサイフグ、良型揃いで大満足！！ 2021年01月15日公開 千葉県・大原沖のフグ、良型アカメフグ交じり出す！ もっと見る 各地方の釣果 北海道・東北地方 関東地方 北陸・甲信越地方 東海地方 関西地方 中国地方 四国地方 九州・沖縄地方 各都道府県の釣果 北海道 青森県 岩手県 宮城県 秋田県 山形県 福島県 茨城県 栃木県 群馬県 埼玉県 千葉県 東京都 神奈川県 新潟県 富山県 石川県 福井県 山梨県 長野県 岐阜県 静岡県 愛知県 三重県 滋賀県 京都府 大阪府 兵庫県 奈良県 和歌山県 鳥取県 島根県 岡山県 広島県 山口県 徳島県 香川県 愛媛県 高知県 福岡県 佐賀県 長崎県 熊本県 大分県 宮崎県 鹿児島県 沖縄県 周辺の施設を見る 大原港 大原港の施設を見る つる丸 新幸丸 秀丸 長福丸 義之丸 長栄丸 広布号 勇盛丸 進誠丸 富士丸 よしえ丸 義丸 富久丸 臼井丸 熊吉丸 あままさ丸 勝晃丸 板倉丸 力漁丸 山正丸 春栄丸 松栄丸 春日丸 初栄丸 若栄丸 拓永丸 松鶴丸 鈴栄丸 利東丸 第三松栄丸 利永丸 外房 近隣を見る 外川港 飯岡港 片貝港 御宿岩和田港 勝浦川津港 太東港 天津港 千葉県 他のエリアを見る 南房 内房 東京湾奥 関東 他の県を見る 茨城県 栃木県 群馬県 埼玉県 千葉県 東京都 神奈川県 ページTOPへ 視聴方法 釣りビジョンVOD スカパー! J:COM ケーブルテレビ ひかりTV 法人のお客様 番組情報 番組情報 番組表 番組ラインナップ 放送番組の編集の基準 番組審議委員会 議事録 衛星基幹放送に係る 有料基幹放送契約約款 釣り情報 釣果・施設情報 釣り場の天気 釣具店情報 釣り入門動画 釣りビジョン マガジン よくあるご質問 その他 公式SNS オンラインショップ プレゼント 会社概要 電子公告 お知らせ一覧 採用情報 お問い合わせ プライバシーポリシー このサイトについて 利用者情報の外部送信について &copy;Fishing Vision Co., Ltd. $(function(){ $('#map').css('height','0'); $('.btn-map').on('click', function () { $(this).css('display', 'none'); $('#map').css('height','400px'); initialize(); }); function initialize(){ var maplatlng = [{""shop_cd"":""66"",""latitude"":""35.2518501609806"",""longitude"":""140.405469023032"",""type_cd"":""2""},{""shop_cd"":""66"",""latitude"":""35.2519465364708"",""longitude"":""140.405340276999"",""type_cd"":""2""},{""shop_cd"":""66"",""latitude"":""35.2518501609806"",""longitude"":""140.405469023032"",""type_cd"":""3""},{""shop_cd"":""66"",""latitude"":""35.2506586"",""longitude"":""140.4033769"",""type_cd"":""1""}]; var icon; var info; var map = new GMaps({ div: '#map', lat: '35.2518501609806', lng: '140.405469023032', zoom: 15, }); map.addMarker({ title: '敷嶋丸', lat: '', lng: '', }); maplatlng.forEach(function( value ) { if(value.type_cd == 2){ icon = 'ship.png'; info = '出港場所'; }else if(value.type_cd == 3){ icon = 'parking.png'; info = '駐車場'; }else { icon = 'shop.png'; info = '敷嶋丸'; } map.addMarker({ title: '敷嶋丸', lat: value.latitude, lng: value.longitude, infoWindow: { content: ' ', }, icon: 'https://www.fishing-v.jp/choka/images/' + icon, //★アイコン指定 infoWindow: { content: ' '+ info +' ', }, clickable: true, }); }); } $('.closeIcon').hide(); $('.__lightBox').on('click', function(){ let src = $(this).find(""figure"").data('src'); console.log(src); let text = $(this).find('p').text(); let lightBox = $(' ').addClass(""lightBox""); $('body').append(lightBox); $('.lightBox').append(' '); $('.lightBox').append(' '); $('.lightBox').children('img').attr('src', src); $('.lightBox').children('p').text(text); $('.lightBoxBg').show(); $('.lightBox').show(); $('.closeIcon').show(); $('body').css('overflow', 'hidden'); }); $('.__close').on('click' , function(){ $('.lightBoxBg').hide(); $('.closeIcon').hide(); $('.lightBox').hide(function(){ $(this).remove(); }); $(this).hide(); $('body').css('overflow', 'auto'); }); });。",,
敷嶋丸,大原港,2024/02/14,1,0,フグ,フグ,メイン,フグ,6,12,9,0,15,30,,,,太東沖,,,10.0,10.0,,,,,,,,,,,,
