date,page,clicks,impressions,ctr,position
2026-07-04,https://funatsuri-yoso.com/fish_area/aji-kanazawa-hakkei.html,0,1,0,2
2026-07-04,https://funatsuri-yoso.com/fish_area/aji-koshigoe.html,0,1,0,8
2026-07-04,https://funatsuri-yoso.com/fish_area/aji-nakaminato.html,0,1,0,8
2026-07-04,https://funatsuri-yoso.com/fish_area/aji-yaizu.html,0,1,0,6
2026-07-04,https://funatsuri-yoso.com/fish_area/ara-togawa.html,0,1,0,1
2026-07-04,https://funatsuri-yoso.com/fish_area/fugu-kashima.html,0,1,0,8
2026-07-04,https://funatsuri-yoso.com/fish_area/fugu-ohara.html,0,1,0,10
2026-07-04,https://funatsuri-yoso.com/fish_area/hirame-%E4%BD%90%E5%B3%B6%E6%B8%AF.html,0,1,0,3
2026-07-04,https://funatsuri-yoso.com/fish_area/hirame-iioka.html,0,2,0,9.5
2026-07-04,https://funatsuri-yoso.com/fish_area/isaki-atami-port.html,0,1,0,5
2026-07-04,https://funatsuri-yoso.com/fish_area/isaki-kanazawa-hakkei.html,0,1,0,8
2026-07-04,https://funatsuri-yoso.com/fish_area/isaki-omaezaki.html,0,1,0,12
2026-07-04,https://funatsuri-yoso.com/fish_area/isaki-sajima.html,0,3,0,6
2026-07-04,https://funatsuri-yoso.com/fish_area/isaki-shimizu.html,0,1,0,4
2026-07-04,https://funatsuri-yoso.com/fish_area/kanpachi-shimoda.html,0,1,0,8
2026-07-04,https://funatsuri-yoso.com/fish_area/kasago-hasaki-shinko.html,0,1,0,10
2026-07-04,https://funatsuri-yoso.com/fish_area/kasago-hasaki.html,1,2,0.5,9.5
2026-07-04,https://funatsuri-yoso.com/fish_area/kasago-hitachi-kuji.html,0,1,0,6
2026-07-04,https://funatsuri-yoso.com/fish_area/kasago-ohara.html,0,1,0,10
2026-07-04,https://funatsuri-yoso.com/fish_area/kasago-yaizu.html,0,1,0,6
2026-07-04,https://funatsuri-yoso.com/fish_area/kintoki-ohara.html,0,1,0,8
2026-07-04,https://funatsuri-yoso.com/fish_area/kurodai-hiratsuka.html,0,1,0,7
2026-07-04,https://funatsuri-yoso.com/fish_area/kurodai-kanaya.html,0,1,0,10
2026-07-04,https://funatsuri-yoso.com/fish_area/madai-hitachi-kuji.html,0,1,0,9
2026-07-04,https://funatsuri-yoso.com/fish_area/madai-hitachi.html,0,1,0,32
2026-07-04,https://funatsuri-yoso.com/fish_area/madai-ohara.html,0,1,0,16
2026-07-04,https://funatsuri-yoso.com/fish_area/madai-omaezaki.html,0,1,0,11
2026-07-04,https://funatsuri-yoso.com/fish_area/maruika-hiratsuka.html,0,1,0,6
2026-07-04,https://funatsuri-yoso.com/fish_area/mejina-ito-shi.html,0,1,0,5
2026-07-04,https://funatsuri-yoso.com/fish_area/saba-koshigoe.html,1,1,1,7
2026-07-04,https://funatsuri-yoso.com/fish_area/shiira-hiratsuka.html,0,1,0,7
2026-07-04,https://funatsuri-yoso.com/fish_area/shima-aji-ohara.html,1,9,0.111111,10.56
2026-07-04,https://funatsuri-yoso.com/fish_area/shima-aji-shimoda.html,0,1,0,3
2026-07-04,https://funatsuri-yoso.com/fish_area/tachiuo-yaizu-ogawa.html,0,7,0,6.14
